Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,MSMS match,RT match?,comments,Post curation result,Fill %,MS/MS assigned,Reference RT,Reference m/z,Formula,Ontology,INCHIKEY,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Comment,Manually modified for quantification,Manually modified for annotation,Isotope tracking parent ID,Isotope tracking weight number,Total score,RT similarity,Dot product,Reverse dot product,Fragment presence %,S/N average,Spectrum reference file name,MS1 isotopic spectrum,MS/MS spectrum,Blank 1,Blank 2,Blank 3,Blank 3,Blank 4,Blank 5,Blank 6,Blank 7,Blank 8,ISTDs Mix 1,ISTDs Mix 1,QC 1,QC 2,QC 3,QC 4,Sample 1,Sample 10,Sample 11,Sample 12,Sample 13,Sample 14,Sample 15,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7,Sample 8,Sample 9,1,1,average blank,average ext. blank,average sample,blank sub,ext blank sub
9,24.975,59.98525,Unknown,[M-H]-,,,,,0.6,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,FALSE,null,null,null,null,null,null,null,2747.22,Blank 3,59.98537:3925 60.98872:604 61.99208:412,59.98635:1020,219,347,3925,3925,292,1149,321,4993,17529,8731,8731,412,194,6527,9713,227,94,257,39384,28149,202,342,10056,5458,50234,10142,22092,1415,100,20864,8534.11875,12450.98976,3633.333333,227,13748.69231,3.784043754,60.56692647
23,0.89,59.99595,Unknown,[M-H]-,,,,ion correlated with 1384; ion correlated with 165,0.033,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,FALSE,null,null,null,null,null,null,null,193.85,Sample 12,59.99595:1031 60.9993:0 62.00266:1032,,0,0,0,0,0,0,0,0,0,0,0,259,227,204,203,2,0,686,1031,0,0,0,0,2,0,0,0,0,0,0,87.16041667,227.9386282,0,2,132.2307692,#DIV/0!,66.11538462
24,1.065,61.79057,Unknown,[M-H]-,,,,,0.133,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,FALSE,null,null,null,null,null,null,null,657.92,Sample 6,61.79057:1281 62.79392:0 63.79728:0,,2,2,0,2,2,0,0,0,2,2,2,426,583,694,708,24,138,1236,1221,800,127,3,8,870,275,31,1281,669,132,1062,343.5416667,444.3924833,1.111111111,24,603.4615385,543.1153846,25.14423077
28,1.216,61.98848,Unknown,[M-H]-,,,,,0.1,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,FALSE,null,null,null,null,null,null,null,272.12,Sample 3,61.98848:87506 62.99183:563 63.99519:758,,2472,3388,3262,2261,2122,2181,2295,2375,2298,3410,3220,56373,75483,80413,82017,14358,26650,122528,191017,79101,36620,6729,12000,87506,36993,14848,166936,47690,31892,90735,42972.44167,51055.42144,2517.111111,14358,72249.61538,28.70338741,5.032011101
33,1.048,63.99249,Unknown,[M-H]-,,,,,0.367,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,FALSE,null,null,null,null,null,null,null,163,Sample 12,63.99249:3235 64.99584:0 65.9992:26,,4,20,21,2,9,8,6,9,8,55,40,1135,1633,1530,1645,130,536,2595,3235,1589,699,23,86,1993,921,358,2706,1453,499,2588,851.1895833,1002.202957,9.666666667,130,1476.538462,152.7453581,11.35798817
37,0.975,66.00911,Unknown,[M-H]-,,,,ion correlated with 38,0.2,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,FALSE,null,null,null,null,null,null,null,34.62,Sample 14,66.00911:1705 67.01246:11 68.01582:0,,14,56,37,27,25,31,43,42,46,41,52,1508,1417,1501,1517,13,992,626,40,770,1705,46,16,538,886,843,1187,1256,1361,1182,593.8958333,620.6450928,35.66666667,13,879.3846154,24.65564342,67.64497041
38,0.94,66.01035,Unknown,[M-H]-,,,,ion correlated with 37,0.1,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,FALSE,null,null,null,null,null,null,null,32.72,QC 1,66.01035:1496 67.0137:40 68.01706:0,,2,8,10,3,12,24,59,26,17,26,35,1496,1300,1493,1507,2,978,331,20,756,1695,72,1,532,878,833,1181,1256,1361,1182,569.975,620.8510569,17.88888889,2,851.9230769,47.62302914,425.9615385
39,0.998,66.95866,Unknown,[M-H]-,,,,,0.467,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,FALSE,null,null,null,null,null,null,null,380.6,Sample 15,66.95866:18689 67.96201:0 68.96537:5596,,0,0,0,0,0,0,0,0,0,0,0,4327,4930,4662,4801,0,4668,1242,7017,5864,0,18689,0,254,3958,4,3878,6848,2321,4373,2594.51875,3914.080704,0,0,4547.384615,#DIV/0!,#DIV/0!
41,1.003,68.95544,Unknown,[M-H]-,,,,,0.367,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,FALSE,null,null,null,null,null,null,null,81.86,Sample 15,68.95544:6018 69.95879:0 70.96215:0,,0,0,0,0,0,0,0,0,0,0,0,1438,1531,1582,1671,0,1593,409,2216,1844,0,6018,0,50,1365,3,1149,2227,816,1412,844.1791667,1264.558615,0,0,1469.384615,#DIV/0!,#DIV/0!
51,20.98,68.99557,w/o MS2:Propiolate,[M-H]-,,,,ion correlated with 8062; ion correlated with 9048,0.033,FALSE,null,69,C3H2O2,Carboxylic acids,UORVCLMRJXCDCP-UHFFFAOYSA-N,C#CC(O)=O,530,TRUE,TRUE,FALSE,,FALSE,FALSE,null,null,90.7,null,null,null,null,38.72,Sample 7,68.99557:1644 69.99892:0 71.00228:0,,40,23,14,18,28,30,19,22,23,16,13,22,18,18,15,32,11,35,14,14,39,6,27,21,30,20,13,1644,24,8,75.19166667,296.5062374,24.11111111,32,144.5384615,5.994682737,4.516826923
55,1.217,78.91734,Unknown,[M-H]-,,,,ion correlated with 70,0.033,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,FALSE,null,null,null,null,null,null,null,81.05,Sample 4,78.91734:3301 79.92069:0 80.92405:3748,,0,0,0,0,0,2,4,0,0,0,4,1734,1858,2091,1947,26,453,1434,2969,178,1804,2374,22,25,3301,1194,529,533,336,486,776.8229167,1012.931616,0.666666667,26,1201.230769,1801.846154,46.20118343
56,6.894,79.95612,Unknown,[M-H]-,,,,ion correlated with 1441; ion correlated with 3714; ion correlated with 1430; ion correlated with 3727; ion correlated with 154; ion correlated with 641; ion correlated with 1132; ion correlated with 1175; similar chromatogram in higher mz_126; similar chromatogram in higher mz_1175,0.033,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,FALSE,null,null,null,null,null,null,null,780.31,Sample 3,79.95612:10925 80.95947:0 81.96283:557,,41,11,10,29,20,16,14,16,16,15,10,8851,20,56,27,26,207,9,0,186,533,0,60,10925,6269,210,190,250,268,0,942.81875,2696.899625,19.22222222,26,1465.153846,76.22187639,56.35207101
57,7.239,79.95618,Unknown,[M-H]-,,,,ion correlated with 3939; ion correlated with 3611; ion correlated with 7758; ion correlated with 7578; ion correlated with 1371,0.167,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,FALSE,null,null,null,null,null,null,null,1046.73,Sample 9,79.95618:22903 80.95953:208 81.96289:875,,91,29,16,18,44,30,16,38,20,25,18,2742,18556,18687,24185,35,1189,16963,487,969,19657,20234,25,674,1179,20216,22808,20265,2584,22903,7156.720833,9663.614887,33.55555556,35,11548.30769,344.154865,329.9516484
58,1.464,79.9563,Unknown,[M-H]-,,,,,0.033,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,FALSE,null,null,null,null,null,null,null,74.83,Sample 9,79.9563:1371 80.95965:177 81.96301:0,,40,11,18,17,11,46,11,15,12,16,18,550,836,1073,803,16,820,700,221,647,847,101,3,48,718,870,1190,601,500,1371,404.3604167,433.1046481,20.11111111,16,664.1538462,33.02422439,41.50961538
59,7.091,79.95645,Unknown,[M-H]-,,,,ion correlated with 146,0.033,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,FALSE,null,null,null,null,null,null,null,1004.6,QC 1,79.95645:20044 80.9598:0 81.96316:866,,63,27,23,15,13,26,5,9,11,35,11,20044,5395,4347,4331,73,1089,2547,7,555,7414,659,62,1062,3696,7079,6094,8777,3272,5739,2749.397917,4266.366671,21.33333333,73,3691.538462,173.0408654,50.56902002
60,7.008,79.95682,Unknown,[M-H]-,,,,ion correlated with 2118; ion correlated with 4425; ion correlated with 5183; ion correlated with 147; ion correlated with 1124; ion correlated with 3606; ion correlated with 6662; ion correlated with 1338; ion correlated with 1370; ion correlated with 3943; ion correlated with 6369; ion correlated with 6397; ion correlated with 6878; ion correlated with 4789,0.033,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,FALSE,null,null,null,null,null,null,null,701.35,Sample 4,79.95682:12278 80.96017:16 81.96353:548,,45,16,15,21,10,25,21,3,4,49,12,15254,649,455,588,72,1368,271,0,612,2789,0,60,2172,12278,2246,1387,1537,607,286,1428.375,3463.169452,17.77777778,72,1965.615385,110.5658654,27.30021368
61,0.932,79.95686,Unknown,[M-H]-,,,,ion correlated with 3641; ion correlated with 300; ion correlated with 320; ion correlated with 538; ion correlated with 562; ion correlated with 574; ion correlated with 2014; ion correlated with 2046; ion correlated with 1667; found in higher mz's MsMs_300; found in higher mz's MsMs_320,0.033,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,FALSE,null,null,null,null,null,null,null,222.15,Sample 15,79.95686:4037 80.96021:0 81.96357:128,,18,26,41,16,22,30,4,30,18,62,53,361,376,348,374,66,296,129,33,365,536,4037,34,33,516,654,434,520,172,264,328.93125,728.253398,22.77777778,66,614.5384615,26.97973734,9.311188811
62,2.282,79.9569,Unknown,[M-H]-,,,,ion correlated with 87; ion correlated with 2176; ion correlated with 3827; ion correlated with 4163; ion correlated with 4201; ion correlated with 1782; ion correlated with 1798; ion correlated with 1855; ion correlated with 1997; ion correlated with 2130; ion correlated with 2505; ion correlated with 2867; ion correlated with 2898; ion correlated with 2946; ion correlated with 3212; ion correlated with 3368; ion correlated with 3508; ion correlated with 3537; ion correlated with 3648; ion correlated with 5355; ion correlated with 5372; ion correlated with 6922; ion correlated with 2032; ion correlated with 2458; ion correlated with 2827; ion correlated with 3265; ion correlated with 3291; ion correlated with 3338; ion correlated with 3865; ion correlated with 4561; ion correlated with 4593; ion correlated with 4638; ion correlated with 5933; ion correlated with 6308; ion correlated with 1106,0.033,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,FALSE,null,null,null,null,null,null,null,84.72,Sample 15,79.9569:1609 80.96025:0 81.96361:0,,21,22,11,26,22,22,10,22,20,15,22,30,42,21,36,17,35,19,34,29,22,1609,18,23,18,22,49,32,34,32,77.79583333,289.3766347,19.55555556,17,150.6153846,7.701923077,8.859728507
63,7.287,79.95705,Unknown,[M-H]-,,,,ion correlated with 1371; ion correlated with 6398; ion correlated with 3942; ion correlated with 8815; ion correlated with 7757; ion correlated with 148; ion correlated with 3607; ion correlated with 6168; ion correlated with 7576; ion correlated with 4428,0.167,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,FALSE,null,null,null,null,null,null,null,1227.82,QC 3,79.95705:24665 80.9604:104 81.96376:1385,,45,17,9,18,23,31,31,35,11,12,15,2751,23367,24665,24282,26,998,16963,212,783,7795,20288,45,629,991,20265,22808,8667,2071,22912,6692.089583,9660.446048,24.44444444,26,9644.769231,394.5587413,370.9526627
